sc_id,mean processed/triggered,std processed/triggered,mean processed/total,std processed/total,mean triggered/total,std triggered/total
2,0.9307692307692308,0.17021856236720767,0.8782051282051283,0.20016019225635892,0.9423076923076923,0.1147895386201991
4,1.0,0.0,0.9615384615384616,0.1386750490563073,0.9615384615384616,0.1386750490563073
5,0.8974358974358976,0.170626046848797,0.8974358974358976,0.170626046848797,1.0,0.0
6,0.8181818181818182,0.34524182711820883,0.7651515151515151,0.362893812556675,0.9318181818181818,0.16166744767071584
9,0.9743589743589743,0.09245003270420485,0.9743589743589743,0.09245003270420485,1.0,0.0
10,1.0,0.0,1.0,0.0,1.0,0.0
12,0.55,0.4377975178854565,0.5,0.4472135954999579,0.9090909090909091,0.30151134457776363
13,0.9294871794871794,0.13542693912385323,0.8717948717948717,0.2297728966731804,0.9423076923076923,0.2080125735844609
14,0.7435897435897435,0.3306516056674825,0.6794871794871794,0.33652319867709457,0.9230769230769231,0.15760629298902878
15,1.0,0.0,0.9615384615384616,0.1386750490563073,0.9615384615384616,0.1386750490563073
17,0.8846153846153846,0.299572344757639,0.7115384615384616,0.32740453905487044,0.7884615384615384,0.2559825492627682
18,0.8500000000000001,0.22648685678488345,0.7179487179487178,0.26029377442199614,0.8525641025641026,0.21557912462564405
20,0.3525641025641026,0.4140946256284413,0.3525641025641026,0.4140946256284413,1.0,0.0
21,0.75,0.3988620176087328,0.701388888888889,0.41049725532943165,0.9305555555555557,0.16603415331593702
22,0.9871794871794872,0.046225016352102424,0.9871794871794872,0.046225016352102424,1.0,0.0
24,0.9102564102564104,0.1877669040497027,0.9102564102564104,0.1877669040497027,1.0,0.0
25,0.875,0.31732387941099616,0.6833333333333333,0.3638782865291737,0.75,0.27498597046143514
29,0.9487179487179488,0.14247506904418505,0.9487179487179488,0.14247506904418505,1.0,0.0
30,0.9423076923076923,0.1497861723788195,0.9166666666666667,0.19245008972987526,0.9615384615384616,0.09985744825254633
34,1.0,0.0,0.9807692307692307,0.06933752452815364,0.9807692307692307,0.06933752452815364
35,0.967948717948718,0.08006407690254357,0.9487179487179488,0.09941065653378733,0.9807692307692307,0.06933752452815364
37,0.814102564102564,0.30075877452842575,0.814102564102564,0.30075877452842575,1.0,0.0
38,0.8541666666666666,0.3100281023430364,0.6153846153846154,0.37659915437627184,0.75,0.3535533905932738
39,0.9038461538461539,0.1661316198070527,0.9038461538461539,0.1661316198070527,1.0,0.0
41,0.12179487179487179,0.2467740583964123,0.11538461538461539,0.24185448051171132,0.9423076923076923,0.1497861723788195
42,0.8846153846153846,0.2816503560745541,0.8461538461538461,0.298231969601362,0.9615384615384616,0.13867504905630731
43,0.9305555555555555,0.16603415331593696,0.8589743589743589,0.3031177030137664,0.9230769230769231,0.2773500981126146
44,0.9807692307692307,0.06933752452815364,0.9807692307692307,0.06933752452815364,1.0,0.0
46,0.9807692307692307,0.06933752452815364,0.9807692307692307,0.06933752452815364,1.0,0.0
49,0.856060606060606,0.30752350653357713,0.6818181818181818,0.362893812556675,0.8257575757575757,0.3038058258131002
50,0.7777777777777778,0.44095855184409843,0.5833333333333334,0.4039733214513608,0.7222222222222222,0.3033379120533549
51,0.6794871794871794,0.3693183063375161,0.6794871794871794,0.3693183063375161,1.0,0.0
54,0.9871794871794872,0.046225016352102424,0.9871794871794872,0.046225016352102424,1.0,0.0
56,0.5416666666666666,0.38353091087415575,0.5416666666666666,0.38353091087415575,1.0,0.0
60,0.6923076923076923,0.4401501945156832,0.6538461538461539,0.4328070439837333,0.9423076923076923,0.1497861723788195
63,0.9027777777777777,0.18060411157513864,0.8402777777777777,0.20858570572548024,0.9375,0.15539539012701525
66,0.9166666666666666,0.1666666666666667,0.9166666666666666,0.1666666666666667,1.0,0.0
68,0.935897435897436,0.16012815380508716,0.858974358974359,0.22408408067882735,0.9230769230769231,0.1877669040497027
69,0.9583333333333334,0.14433756729740643,0.8205128205128206,0.32957280473096323,0.858974358974359,0.3180245291476762
71,1.0,0.0,0.9423076923076923,0.1497861723788195,0.9423076923076923,0.1497861723788195
73,0.6923076923076923,0.36544084137792887,0.6025641025641025,0.34385115709216135,0.8653846153846154,0.2192645048267573
75,0.9166666666666667,0.19245008972987526,0.9166666666666667,0.19245008972987526,1.0,0.0
77,1.0,0.0,1.0,0.0,1.0,0.0
78,0.9807692307692307,0.06933752452815364,0.8333333333333333,0.2429563289518875,0.8525641025641024,0.24568933200944618
81,1.0,0.0,0.8461538461538461,0.37553380809940534,0.8461538461538461,0.37553380809940534
85,0.875,0.3107907802540305,0.8125,0.32201425716601717,0.8958333333333334,0.19824036527468977
