sc_id,mean trigger_to_fixation_time,std trigger_to_fixation_time
2,21958.423076923078,11669.012190336392
4,15778.179487179488,7469.0206065843195
5,12501.71794871795,5577.403373079616
6,8304.55,3088.095540404582
9,24765.166666666668,14930.474219765538
10,30207.858974358976,21405.114421173905
12,23139.416666666664,14726.336482217836
13,18531.128205128203,16057.832424459053
14,5787.125,5819.43006864621
15,26933.852564102566,18629.10659817082
17,11624.11111111111,6453.445049877198
18,17036.73076923077,14788.514558905988
20,24440.071428571428,24317.345445909887
21,11758.533333333333,11527.580545514886
22,33221.67564102564,15847.14207768119
24,8599.860256410257,7127.094215209915
25,8840.296296296296,6462.7340946091435
29,23533.80769230769,12027.800434979203
30,14401.453846153845,7262.53648431632
34,32721.929487179485,19096.760854078828
35,6623.5641025641025,3833.444586271125
37,17920.590277777777,15972.305945810982
38,15124.924242424244,14705.385958016961
39,6750.54358974359,7353.7622942447915
41,12884.222222222224,12780.103461298015
42,6694.166666666667,5243.476318149048
43,29681.347222222223,23308.734303298395
44,7679.371794871795,8225.993307732531
46,18442.76282051282,13924.73587753395
49,4034.725,4736.160717245914
50,8169.047619047618,6782.319614203267
51,26049.386363636364,18845.415873417212
54,18664.48076923077,12998.788398051092
56,15360.9,10159.634996724373
60,10523.3,7742.585482612093
63,23677.423611111113,12537.09340234466
66,22633.397435897434,12187.233292720568
68,18033.897435897434,7898.349475827698
69,8384.4125,6761.484826915038
71,20073.03846153846,13806.671470966265
73,8451.34090909091,6610.984242411192
75,9484.388461538461,8223.020040516183
77,16472.903846153848,13471.511518904945
78,14373.794871794873,11522.209198164552
81,21780.484848484848,21314.85465317225
85,13287.636363636364,10565.708511978788
